ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,FUELTYPE_E,FUELTYPE_X,FUELTYPE_Z,CO2EMISSIONS
2.0,4,9.9,6.7,8.5,33,0,0,1,196
2.4,4,11.2,7.7,9.6,29,0,0,1,221
1.5,4,6.0,5.8,5.9,48,0,0,1,136
3.5,6,12.7,9.1,11.1,25,0,0,1,255
3.5,6,12.1,8.7,10.6,27,0,0,1,244
3.5,6,11.9,7.7,10.0,28,0,0,1,230
3.5,6,11.8,8.1,10.1,28,0,0,1,232
3.7,6,12.8,9.0,11.1,25,0,0,1,255
3.7,6,13.4,9.5,11.6,24,0,0,1,267
2.4,4,10.6,7.5,9.2,31,0,0,1,212
2.4,4,11.2,8.1,9.8,29,0,0,1,225
3.5,6,12.1,8.3,10.4,27,0,0,1,239
5.9,12,18.0,12.6,15.6,18,0,0,1,359
5.9,12,18.0,12.6,15.6,18,0,0,1,359
4.7,8,17.4,11.3,14.7,19,0,0,1,338
4.7,8,18.1,12.2,15.4,18,0,0,1,354
4.7,8,17.4,11.3,14.7,19,0,0,1,338
4.7,8,18.1,12.2,15.4,18,0,0,1,354
5.9,12,18.0,12.6,15.6,18,0,0,1,359
2.0,4,9.9,7.4,8.8,32,0,0,1,202
2.0,4,11.5,8.1,10.0,28,0,0,1,230
2.0,4,10.8,7.5,9.3,30,0,0,1,214
2.0,4,11.5,8.1,10.0,28,0,0,1,230
2.0,4,11.5,8.1,10.0,28,0,0,1,230
2.0,4,10.8,7.5,9.3,30,0,0,1,214
2.0,4,12.0,8.1,10.2,28,0,0,1,235
3.0,6,12.8,8.6,10.9,26,0,0,1,251
3.0,6,9.8,6.4,8.3,34,0,0,0,224
3.0,6,13.1,8.8,11.2,25,0,0,1,258
3.0,6,9.8,6.4,8.3,34,0,0,0,224
3.0,6,13.1,8.8,11.2,25,0,0,1,258
4.0,8,13.5,8.6,11.3,25,0,0,1,260
3.0,6,10.0,6.4,8.4,34,0,0,0,227
3.0,6,13.1,8.8,11.2,25,0,0,1,258
4.0,8,14.7,9.7,12.5,23,0,0,1,288
6.3,12,18.2,12.6,15.7,18,0,0,1,361
3.0,6,10.1,6.5,8.5,33,0,0,0,230
2.0,4,11.8,8.8,10.5,27,0,0,1,242
2.0,4,12.0,8.5,10.4,27,0,0,1,239
3.0,6,12.9,9.2,11.2,25,0,0,1,258
2.0,4,9.9,8.3,9.2,31,0,0,1,212
3.0,6,10.3,7.6,9.1,31,0,0,0,246
3.0,6,15.1,10.9,13.2,21,0,0,1,304
3.0,6,12.9,8.4,10.9,26,0,0,0,294
4.2,8,17.6,11.0,14.6,19,0,0,1,336
4.2,8,21.2,13.4,17.7,16,0,0,1,407
5.2,10,18.8,11.3,15.4,18,0,0,1,354
5.2,10,21.1,13.8,17.8,16,0,0,1,409
4.2,8,17.6,11.0,14.6,19,0,0,1,336
4.2,8,21.2,13.4,17.7,16,0,0,1,407
5.2,10,18.8,11.3,15.4,18,0,0,1,354
5.2,10,21.1,13.8,17.8,16,0,0,1,409
4.2,8,15.3,10.9,13.3,21,0,0,1,306
4.2,8,15.2,11.3,13.4,21,0,0,1,308
4.0,8,15.3,9.3,12.6,22,0,0,1,290
3.0,6,13.2,9.2,11.4,25,0,0,1,262
3.0,6,14.6,9.8,12.4,23,0,0,1,285
3.0,6,13.2,9.2,11.4,25,0,0,1,262
3.0,6,14.6,9.8,12.4,23,0,0,1,285
3.0,6,13.3,9.5,11.6,24,0,0,1,267
4.0,8,14.2,9.7,12.2,23,0,0,1,281
4.0,8,14.2,9.7,12.2,23,0,0,1,281
4.0,8,15.4,9.8,12.9,22,0,0,1,297
3.0,6,14.9,10.1,12.7,22,0,0,1,292
2.0,4,10.4,7.6,9.1,31,0,0,1,209
2.0,4,10.4,7.6,9.1,31,0,0,1,209
2.0,4,11.5,8.8,10.3,27,0,0,1,237
2.0,4,11.5,8.8,10.3,27,0,0,1,237
4.0,8,15.4,9.8,12.9,22,0,0,1,297
6.0,12,18.8,11.5,15.5,18,0,0,1,356
4.0,8,16.8,10.3,13.9,20,0,0,1,320
6.0,12,20.0,12.2,16.5,17,0,0,1,380
4.0,8,16.7,10.6,14.0,20,0,0,1,322
6.0,12,20.0,12.2,16.5,17,0,0,1,380
6.0,12,20.0,12.2,16.5,17,0,0,1,380
6.8,8,22.3,14.9,19.0,15,0,0,1,437
2.0,4,10.0,6.5,8.4,34,0,0,1,193
2.0,4,10.4,6.7,8.7,32,0,0,1,200
2.0,4,10.2,7.0,8.8,32,0,0,1,202
2.0,4,7.6,5.5,6.7,42,0,0,0,181
2.0,4,7.6,5.5,6.7,42,0,0,0,181
2.0,4,10.0,6.5,8.4,34,0,0,1,193
2.0,4,10.4,6.7,8.7,32,0,0,1,200
2.0,4,10.6,7.2,9.1,31,0,0,1,209
2.0,4,10.6,7.2,9.1,31,0,0,1,209
2.0,4,10.6,7.2,9.1,31,0,0,1,209
3.0,6,11.4,7.3,9.6,29,0,0,1,221
3.0,6,11.8,7.9,10.0,28,0,0,1,230
3.0,6,11.7,7.8,9.9,29,0,0,1,228
3.0,6,11.9,8.3,10.3,27,0,0,1,237
3.0,6,11.9,8.0,10.1,28,0,0,1,232
2.0,4,10.0,6.5,8.4,34,0,0,1,193
2.0,4,10.4,6.7,8.7,32,0,0,1,200
2.0,4,10.6,7.2,9.1,31,0,0,1,209
3.0,6,11.4,7.3,9.6,29,0,0,1,221
3.0,6,11.8,7.9,10.0,28,0,0,1,230
3.0,6,11.7,7.8,9.9,29,0,0,1,228
3.0,6,11.9,8.3,10.3,27,0,0,1,237
2.0,4,10.2,7.0,8.8,32,0,0,1,202
2.0,4,10.6,7.2,9.1,31,0,0,1,209
3.0,6,9.2,6.4,7.9,36,0,0,0,213
3.0,6,11.9,8.0,10.1,28,0,0,1,232
3.0,6,12.5,8.6,10.7,26,0,0,1,246
4.4,8,14.4,9.6,12.2,23,0,0,1,281
4.4,8,15.0,9.8,12.7,22,0,0,1,292
3.0,6,11.9,8.0,10.1,28,0,0,1,232
4.4,8,15.0,9.8,12.7,22,0,0,1,292
4.4,8,14.4,9.6,12.2,23,0,0,1,281
4.4,8,15.0,9.8,12.7,22,0,0,1,292
3.0,6,12.5,8.6,10.7,26,0,0,1,246
4.4,8,15.0,9.8,12.7,22,0,0,1,292
4.4,8,15.0,9.8,12.7,22,0,0,1,292
6.0,12,18.7,11.5,15.5,18,0,0,1,356
3.0,6,9.2,7.1,8.3,34,0,0,1,191
3.0,6,10.5,7.9,9.3,30,0,0,1,214
3.0,6,10.5,7.6,9.2,31,0,0,1,212
4.4,8,15.0,9.8,12.7,22,0,0,1,292
4.4,8,15.0,9.8,12.7,22,0,0,1,292
4.4,8,17.3,11.5,14.7,19,0,0,1,338
4.4,8,16.2,10.9,13.8,20,0,0,1,317
4.4,8,17.3,11.5,14.7,19,0,0,1,338
4.4,8,16.2,10.9,13.8,20,0,0,1,317
4.4,8,17.3,11.5,14.7,19,0,0,1,338
4.4,8,16.2,10.9,13.8,20,0,0,1,317
4.4,8,17.3,11.5,14.7,19,0,0,1,338
4.4,8,16.2,10.9,13.8,20,0,0,1,317
2.0,4,10.6,7.2,9.1,31,0,0,1,209
3.0,6,13.2,8.9,11.3,25,0,0,1,260
2.0,4,11.2,8.5,10.0,28,0,0,1,230
3.0,6,12.6,9.1,11.0,26,0,0,1,253
3.0,6,12.9,8.8,11.1,25,0,0,1,255
4.4,8,16.3,10.9,13.9,20,0,0,1,320
4.4,8,18.1,13.7,16.1,18,0,0,1,370
3.0,6,13.6,9.8,11.9,24,0,0,1,274
4.4,8,16.4,11.3,14.1,20,0,0,1,324
2.0,4,10.8,7.1,9.1,31,0,0,1,209
2.0,4,10.4,6.7,8.7,32,0,0,1,200
3.0,6,13.7,10.1,12.1,23,0,0,1,278
3.0,6,12.7,9.0,11.0,26,0,0,1,253
3.0,6,13.7,10.1,12.1,23,0,0,1,278
3.6,6,14.3,9.9,12.3,23,0,1,0,283
3.6,6,14.6,10.2,12.6,22,0,1,0,290
1.4,4,9.5,7.2,8.5,33,0,1,0,196
1.4,4,10.2,8.0,9.2,31,0,1,0,212
3.6,6,13.7,8.7,11.5,25,0,1,0,264
3.6,6,18.4,12.2,15.6,18,1,0,0,250
3.6,6,13.7,8.9,11.5,25,0,1,0,264
3.6,6,19.4,13.0,16.5,17,1,0,0,264
2.4,4,9.6,6.5,8.2,34,0,1,0,189
2.0,4,11.5,7.9,9.9,29,0,0,1,228
2.0,4,11.6,7.5,9.8,29,0,0,1,225
2.0,4,12.3,8.7,10.7,26,0,0,1,246
2.4,4,9.6,6.5,8.2,34,0,1,0,189
2.0,4,11.5,7.9,9.9,29,0,0,1,228
2.0,4,11.6,7.5,9.8,29,0,0,1,225
2.4,4,11.3,7.4,9.5,30,0,1,0,218
2.0,4,11.3,7.5,9.6,29,0,0,1,221
2.0,4,12.1,7.9,10.2,28,0,0,1,235
2.5,4,10.5,7.2,9.0,31,0,1,0,207
3.6,6,12.8,8.5,10.9,26,0,1,0,251
2.0,4,11.8,8.1,10.1,28,0,0,1,232
3.6,6,13.1,9.0,11.3,25,0,1,0,260
3.6,6,13.2,8.7,11.2,25,0,1,0,258
3.6,6,13.3,9.0,11.4,25,0,1,0,262
2.0,4,11.9,7.9,10.1,28,0,0,1,232
3.6,6,12.9,8.2,10.8,26,0,1,0,248
2.0,4,12.6,8.5,10.8,26,0,0,1,248
3.6,6,13.1,9.0,11.3,25,0,1,0,260
3.6,6,15.1,9.9,12.8,22,0,0,1,294
3.0,6,12.7,8.9,11.0,26,0,1,0,253
3.6,6,13.3,8.9,11.3,25,0,1,0,260
3.0,6,12.8,9.1,11.1,25,0,1,0,255
3.6,6,13.3,9.0,11.4,25,0,1,0,262
6.2,8,19.7,12.9,16.6,17,0,0,1,382
6.2,8,16.7,12.5,14.8,19,0,0,1,340
6.2,8,19.7,12.9,16.6,17,0,0,1,382
6.2,8,16.7,12.5,14.8,19,0,0,1,340
6.2,8,19.7,12.9,16.6,17,0,0,1,382
6.2,8,16.7,12.5,14.8,19,0,0,1,340
6.2,8,17.0,11.8,14.7,19,0,0,1,338
6.2,8,23.3,16.1,20.1,14,1,0,0,322
6.2,8,18.8,13.4,16.4,17,0,0,1,377
6.2,8,25.7,17.8,22.1,13,1,0,0,354
3.6,6,14.3,9.8,12.3,23,0,1,0,283
3.6,6,14.8,10.4,12.8,22,0,1,0,294
3.6,6,13.6,8.6,11.4,25,0,1,0,262
3.6,6,14.0,9.1,11.8,24,0,1,0,271
3.6,6,14.8,9.8,12.6,22,0,0,1,290
3.6,6,13.2,8.7,11.2,25,0,1,0,258
3.6,6,14.2,8.6,11.7,24,0,1,0,269
3.6,6,12.7,7.9,10.5,27,0,1,0,242
6.2,8,15.3,9.8,12.8,22,0,0,1,294
6.2,8,15.0,9.9,12.7,22,0,0,1,292
6.2,8,19.7,12.9,16.6,17,0,0,1,382
6.2,8,16.7,12.5,14.8,19,0,0,1,340
6.2,8,14.9,8.5,12.0,24,0,0,1,276
6.2,8,13.7,8.2,11.2,25,0,0,1,258
1.4,4,9.1,6.3,7.8,36,0,1,0,179
1.4,4,9.1,6.3,7.8,36,0,1,0,179
1.8,4,10.5,6.7,8.8,32,0,1,0,202
1.8,4,9.5,6.5,8.2,34,0,1,0,189
2.0,4,8.7,5.1,7.1,40,0,0,0,192
1.4,4,9.1,6.0,7.7,37,0,1,0,177
1.4,4,8.4,5.6,7.1,40,0,1,0,163
2.4,4,10.5,7.3,9.1,31,0,1,0,209
3.6,6,13.9,9.6,12.0,24,0,1,0,276
3.6,6,18.8,13.1,16.2,17,1,0,0,259
2.4,4,11.5,8.2,10.0,28,0,1,0,230
3.6,6,14.8,9.9,12.6,22,0,1,0,290
3.6,6,19.8,13.6,17.0,17,1,0,0,272
4.3,6,17.1,12.7,15.1,19,0,1,0,347
5.3,8,18.0,13.4,15.9,18,0,1,0,366
5.3,8,23.5,17.7,20.9,14,1,0,0,334
5.3,8,18.3,14.2,16.5,17,0,1,0,380
5.3,8,23.7,18.8,21.5,13,1,0,0,344
5.3,8,18.6,13.9,16.5,17,0,1,0,380
5.3,8,23.9,18.5,21.5,13,1,0,0,344
5.3,8,18.3,14.2,16.5,17,0,1,0,380
5.3,8,25.3,19.3,22.6,12,1,0,0,362
5.3,8,18.6,13.9,16.5,17,0,1,0,380
5.3,8,23.9,18.5,21.5,13,1,0,0,344
5.3,8,18.3,14.2,16.5,17,0,1,0,380
5.3,8,25.3,19.3,22.6,12,1,0,0,362
4.8,8,21.1,14.2,18.0,16,0,1,0,414
6.0,8,21.9,15.0,18.8,15,0,1,0,432
6.0,8,30.0,20.4,25.7,11,1,0,0,411
4.8,8,21.3,14.3,18.2,16,0,1,0,419
6.0,8,22.1,15.0,18.9,15,0,1,0,435
6.0,8,30.2,20.5,25.8,11,1,0,0,413
2.5,4,11.3,7.5,9.6,29,0,1,0,221
3.6,6,12.6,8.2,10.6,27,0,1,0,244
3.6,6,16.7,11.3,14.3,20,1,0,0,229
2.4,4,10.0,7.0,8.7,32,0,1,0,200
2.0,4,11.5,7.9,9.9,29,0,0,1,228
2.5,4,9.3,6.4,8.0,35,0,1,0,184
2.4,4,12.2,8.6,10.6,27,0,1,0,244
2.4,4,11.8,8.3,10.2,28,0,1,0,235
4.3,6,13.4,9.9,11.8,24,0,1,0,271
4.3,6,18.9,14.2,16.8,17,1,0,0,269
5.3,8,14.6,10.3,12.7,22,0,1,0,292
5.3,8,19.5,13.7,16.9,17,1,0,0,270
6.2,8,16.3,11.4,14.1,20,0,0,1,324
4.3,6,14.2,10.6,12.6,22,0,1,0,290
4.3,6,20.0,15.1,17.8,16,1,0,0,285
5.3,8,14.9,10.6,13.0,22,0,1,0,299
5.3,8,19.9,14.2,17.3,16,1,0,0,277
6.2,8,16.4,11.7,14.3,20,0,0,1,329
1.4,4,9.1,6.7,8.0,35,0,1,0,184
1.4,4,8.5,6.2,7.5,38,0,1,0,173
1.8,4,9.6,6.6,8.3,34,0,1,0,191
1.8,4,8.9,6.7,7.9,36,0,1,0,182
1.4,4,9.1,6.7,8.0,35,0,1,0,184
1.4,4,8.5,6.2,7.5,38,0,1,0,172
1.8,4,9.6,6.6,8.3,34,0,1,0,191
1.8,4,8.9,6.7,7.9,36,0,1,0,182
1.4,4,9.4,7.0,8.3,34,0,1,0,191
1.4,4,8.7,7.0,7.9,36,0,1,0,182
1.4,4,9.4,7.0,8.3,34,0,1,0,191
1.4,4,8.7,7.0,7.9,36,0,1,0,182
1.2,4,7.7,6.0,6.9,41,0,1,0,159
1.2,4,7.6,6.0,6.9,41,0,1,0,159
5.3,8,16.0,11.1,13.8,20,0,1,0,317
5.3,8,21.5,14.6,18.4,15,1,0,0,294
5.3,8,16.0,11.1,13.8,20,0,1,0,317
5.3,8,21.5,14.6,18.4,15,1,0,0,294
5.3,8,16.0,11.1,13.8,20,0,1,0,317
5.3,8,21.5,14.6,18.4,15,1,0,0,294
5.3,8,16.0,11.1,13.8,20,0,1,0,317
5.3,8,21.5,14.6,18.4,15,1,0,0,294
3.6,6,14.3,9.9,12.3,23,0,1,0,283
3.6,6,14.6,10.2,12.6,22,0,1,0,290
1.4,4,9.4,7.1,8.4,34,0,1,0,193
1.4,4,9.1,6.8,8.1,35,0,1,0,186
1.4,4,10.0,7.8,9.0,31,0,1,0,207
3.6,6,12.4,7.7,10.3,27,0,1,0,237
2.4,4,11.7,8.2,10.1,28,0,1,0,232
2.4,4,12.9,8.1,10.7,26,0,1,0,246
3.6,6,12.5,8.1,10.5,27,0,1,0,242
3.6,6,17.0,11.2,14.4,20,1,0,0,230
2.4,4,11.2,8.0,9.8,29,0,1,0,225
2.4,4,12.0,7.6,10.0,28,0,1,0,230
3.6,6,12.5,8.1,10.5,27,0,1,0,242
3.6,6,17.0,11.2,14.4,20,1,0,0,230
5.7,8,15.8,9.2,12.8,22,0,1,0,294
3.6,6,12.8,8.6,10.9,26,0,1,0,251
5.7,8,16.1,10.0,13.4,21,0,1,0,308
3.6,6,12.8,8.6,10.9,26,0,1,0,251
3.6,6,17.3,11.7,14.8,19,1,0,0,237
3.6,6,12.4,7.7,10.3,27,0,1,0,237
3.6,6,16.8,10.3,13.9,20,1,0,0,222
6.4,8,16.7,10.3,13.8,20,0,0,1,317
3.6,6,14.1,9.5,12.0,24,0,1,0,276
3.6,6,19.7,13.3,16.8,17,1,0,0,269
2.4,4,11.2,8.0,9.8,29,0,1,0,225
2.4,4,12.0,7.6,10.0,28,0,1,0,230
3.6,6,12.5,8.1,10.5,27,0,1,0,242
3.6,6,17.0,11.2,14.4,20,1,0,0,230
3.6,6,13.2,8.7,11.2,25,0,1,0,258
5.7,8,15.6,10.0,13.1,22,0,1,0,301
5.7,8,15.8,9.2,12.8,22,0,1,0,294
6.4,8,16.8,10.4,13.9,20,0,0,1,320
6.4,8,16.7,10.3,13.8,20,0,0,1,317
3.6,6,13.2,8.7,11.2,25,0,1,0,258
3.6,6,12.4,7.7,10.3,27,0,1,0,237
5.7,8,15.8,9.2,12.8,22,0,1,0,294
3.6,6,12.8,8.6,10.9,26,0,1,0,251
5.7,8,16.1,10.0,13.4,21,0,1,0,308
3.6,6,12.8,8.6,10.9,26,0,1,0,251
3.6,6,17.3,11.7,14.8,19,1,0,0,237
3.6,6,13.2,8.7,11.2,25,0,1,0,258
3.6,6,18.3,12.6,15.7,18,1,0,0,251
3.6,6,12.3,7.6,10.2,28,0,1,0,235
3.6,6,16.8,10.3,13.9,20,1,0,0,222
6.4,8,16.7,10.3,13.8,20,0,0,1,317
2.0,4,9.4,6.5,8.1,35,0,1,0,186
2.4,4,10.1,6.8,8.6,33,0,1,0,198
2.4,4,10.5,6.7,8.8,32,0,1,0,202
2.0,4,9.9,7.0,8.6,33,0,1,0,198
2.0,4,14.2,9.8,12.2,23,1,0,0,195
2.4,4,10.6,7.5,9.2,31,0,1,0,212
2.4,4,10.2,7.0,8.8,32,0,1,0,202
1.4,4,8.4,5.9,7.3,39,0,1,0,168
1.4,4,8.5,5.8,7.3,39,0,1,0,168
5.7,8,17.3,10.8,14.4,20,0,1,0,331
3.6,6,13.9,9.8,12.1,23,0,1,0,278
3.6,6,17.7,13.0,15.6,18,1,0,0,250
3.6,6,13.7,9.4,11.8,24,0,1,0,271
3.6,6,19.2,13.1,16.5,17,1,0,0,264
2.4,4,12.7,9.1,11.1,25,0,1,0,255
3.6,6,14.5,9.9,12.4,23,0,1,0,285
3.6,6,14.2,9.4,12.0,24,0,1,0,276
3.6,6,18.9,12.9,16.2,17,1,0,0,259
1.4,4,8.5,6.9,7.8,36,0,1,0,179
1.4,4,8.5,6.9,7.8,36,0,1,0,179
1.4,4,8.7,6.9,7.9,36,0,1,0,182
1.4,4,7.9,6.3,7.2,39,0,1,0,166
1.4,4,8.5,6.9,7.8,36,0,1,0,179
1.4,4,8.7,6.9,7.9,36,0,1,0,182
1.4,4,7.6,5.9,6.8,42,0,1,0,156
1.4,4,8.5,6.9,7.8,36,0,1,0,179
1.4,4,10.0,7.2,8.7,32,0,1,0,200
1.4,4,9.3,7.2,8.4,34,0,1,0,193
2.0,4,5.6,6.4,6.0,47,0,1,0,138
4.6,8,17.7,14.4,16.2,17,0,1,0,373
4.6,8,24.1,19.2,21.9,13,1,0,0,350
5.4,8,19.3,14.7,17.2,16,0,1,0,396
5.4,8,24.9,19.6,22.5,13,1,0,0,360
4.6,8,18.6,14.6,16.8,17,0,1,0,386
4.6,8,25.5,20.0,23.0,12,1,0,0,368
6.8,10,23.9,17.8,21.2,13,0,1,0,488
